,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id,trainer_id,owner_id
202306010101,1,7,14,シュバルツガイスト,牡3,56.0,武豊,1:12.6,,1.8,1.0,486(-4),[東] 国枝栄,1200,晴,ダート,良,2023年1月5日,2020103575,666,399,356803
202306010101,2,3,5,ジェイケイファイン,牡3,56.0,内田博幸,1:12.9,1.3/4,7.4,3.0,472(-8),[東] 奥平雅士,1200,晴,ダート,良,2023年1月5日,2020107073,422,1074,702009
202306010101,3,1,1,レディアス,牝3,54.0,津村明秀,1:12.9,クビ,36.1,6.0,428(+6),[東] 鈴木慎太,1200,晴,ダート,良,2023年1月5日,2020102562,1092,1179,763033
202306010101,4,8,15,ハローマイラブリー,牝3,54.0,三浦皇成,1:13.4,3,4.2,2.0,536(0),[東] 伊坂重信,1200,晴,ダート,良,2023年1月5日,2020106345,1122,1177,729005
202306010101,5,5,9,ベアカワイコチャン,牝3,54.0,松岡正海,1:13.9,3,7.9,4.0,478(+10),[東] 杉浦宏昭,1200,晴,ダート,良,2023年1月5日,2020100039,1085,1008,372033
202306010101,6,1,2,ラディーヴァ,牝3,52.0,原優介,1:14.0,1/2,255.6,13.0,456(-2),[東] 武市康男,1200,晴,ダート,良,2023年1月5日,2020104817,1184,1089,336030
202306010101,7,6,12,メルティーショコラ,牝3,54.0,武藤雅,1:14.0,クビ,58.8,7.0,470(+14),[東] 武藤善則,1200,晴,ダート,良,2023年1月5日,2020104295,1169,1064,40803
202306010101,8,8,16,ニシノスイセイ,牡3,56.0,野中悠太,1:14.1,1/2,137.1,11.0,468(+6),[東] 青木孝文,1200,晴,ダート,良,2023年1月5日,2020105491,1158,1156,897009
202306010101,9,7,13,タッカーカムカム,牝3,52.0,山田敬士,1:14.2,クビ,322.0,14.0,426(-2),[東] 鈴木伸尋,1200,晴,ダート,良,2023年1月5日,2020104358,1173,1026,248033
202306010101,10,3,6,ペイシャコリン,牝3,52.0,小林凌大,1:14.4,1.1/2,86.0,10.0,454(-10),[東] 伊藤伸一,1200,晴,ダート,良,2023年1月5日,2020105324,1177,1031,163002
202306010101,11,6,11,オメガキャプテン,牡3,56.0,横山和生,1:14.7,1.1/2,10.7,5.0,474(+16),[東] 大和田成,1200,晴,ダート,良,2023年1月5日,2020103960,1140,1124,8803
202306010101,12,4,8,デルマウッチャリ,牝3,54.0,的場勇人,1:14.9,1.1/2,391.7,16.0,406(+8),[東] 的場均,1200,晴,ダート,良,2023年1月5日,2020102110,1108,1063,274002
202306010101,13,2,3,シティオブヨーク,牡3,56.0,木幡巧也,1:15.0,1/2,83.1,9.0,464(+12),[東] 鈴木慎太,1200,晴,ダート,良,2023年1月5日,2020102145,1162,1179,855030
202306010101,14,4,7,マリノルルワ,牝3,51.0,土田真翔,1:15.1,1/2,208.6,12.0,398(+8),[東] 尾形和幸,1200,晴,ダート,良,2023年1月5日,2020101415,1198,1141,406031
202306010101,15,2,4,エーデルシュタイン,牝3,54.0,大野拓弥,1:16.1,6,348.9,15.0,392(0),[東] 浅野洋一,1200,晴,ダート,良,2023年1月5日,2020106714,1096,421,855030
202306010101,16,5,10,コノハナミカミ,牝3,54.0,丸田恭介,1:17.2,7,63.3,8.0,422(+10),[東] 上原博之,1200,晴,ダート,良,2023年1月5日,2020100424,1117,423,302700
202306010102,1,4,8,プレミアペガサス,牡3,56.0,バシュロ,1:55.3,,13.8,5.0,510(-2),[東] 田中博康,1800,晴,ダート,良,2023年1月5日,2020104020,5621,1162,955033
202306010102,2,4,7,ジェントルタッチ,牡3,56.0,黛弘人,1:55.5,1.1/2,13.3,4.0,512(+2),[東] 武井亮,1800,晴,ダート,良,2023年1月5日,2020105860,1109,1147,463031
202306010102,3,7,13,ニシノファンフェア,牡3,56.0,内田博幸,1:55.7,1,16.3,6.0,482(+2),[東] 和田勇介,1800,晴,ダート,良,2023年1月5日,2020100382,422,1165,897009
202306010102,4,1,2,ピックアップライン,牡3,56.0,武士沢友,1:56.0,2,58.8,11.0,514(+6),[東] 田中剛,1800,晴,ダート,良,2023年1月5日,2020103088,1029,1119,415800
202306010102,5,2,3,コレクテイニア,牡3,56.0,吉田豊,1:56.4,2,5.0,3.0,478(+10),[東] 戸田博文,1800,晴,ダート,良,2023年1月5日,2020110020,733,1054,808800
202306010102,6,8,15,コスモメイゲツ,牡3,56.0,丹内祐次,1:56.4,ハナ,53.6,10.0,462(0),[東] 中野栄治,1800,晴,ダート,良,2023年1月5日,2020105770,1091,1010,716800
202306010102,7,5,10,パーティーキング,牡3,56.0,木幡巧也,1:56.5,1/2,51.6,9.0,474(+2),[東] 岩戸孝樹,1800,晴,ダート,良,2023年1月5日,2020105381,1162,1051,855030
202306010102,8,6,11,アフタヌーンドレス,牝3,54.0,田辺裕信,1:56.8,2,3.2,2.0,502(-10),[東] 栗田徹,1800,晴,ダート,良,2023年1月5日,2020110035,1075,1127,3060
202306010102,9,8,16,バンクサイド,牡3,56.0,木幡初也,1:56.9,1/2,226.2,15.0,508(+2),[東] 竹内正洋,1800,晴,ダート,良,2023年1月5日,2020106354,1153,1152,306031
202306010102,10,3,6,エイチエヌバンピー,牡3,54.0,藤田菜七,1:57.1,1,80.3,13.0,448(+10),[東] 小桧山悟,1800,晴,ダート,良,2023年1月5日,2020105061,1164,1005,382008
202306010102,11,6,12,フクノブルジュ,牡3,56.0,菊沢一樹,1:57.1,アタマ,2.7,1.0,446(-8),[東] 竹内正洋,1800,晴,ダート,良,2023年1月5日,2020101465,1161,1152,159033
202306010102,12,7,14,インテンスシチー,牡3,56.0,柴田大知,1:57.2,クビ,31.9,8.0,492(+4),[東] 和田雄二,1800,晴,ダート,良,2023年1月5日,2020106013,1009,1143,321800
202306010102,13,1,1,ツカサレヴズ,牡3,55.0,永野猛蔵,1:57.6,2.1/2,79.4,12.0,472(+12),[東] 田島俊明,1800,晴,ダート,良,2023年1月5日,2020105675,1188,1112,523031
202306010102,14,3,5,タイムトラベラー,牡3,56.0,斎藤新,1:58.8,7,216.9,14.0,476(+34),[東] 佐藤吉勝,1800,晴,ダート,良,2023年1月5日,2020100066,1178,1035,855030
202306010102,15,2,4,ヴィナクローナ,牡3,56.0,石橋脩,1:59.1,1.3/4,23.8,7.0,468(+4),[東] 武市康男,1800,晴,ダート,良,2023年1月5日,2020102901,1077,1089,415800
202306010102,16,5,9,マイプリンセス,牝3,52.0,山田敬士,1:59.1,クビ,420.9,16.0,472(-2),[東] 松永康利,1800,晴,ダート,良,2023年1月5日,2020103763,1173,1093,687033
202306010103,1,8,16,フェブルウス,牡3,56.0,木幡巧也,1:57.1,,15.9,7.0,464(0),[東] 上原博之,1800,晴,ダート,良,2023年1月5日,2020103622,1162,423,808800
202306010103,2,5,9,ルルシュシュ,牝3,54.0,丸山元気,1:57.5,2.1/2,36.7,10.0,490(0),[東] 金成貴史,1800,晴,ダート,良,2023年1月5日,2020100572,1127,1132,98803
202306010103,3,1,2,トウショウリッジ,牡3,56.0,岩部純二,1:57.6,1/2,16.0,8.0,490(0),[東] 萱野浩二,1800,晴,ダート,良,2023年1月5日,2020104541,726,1024,78800
202306010103,4,3,6,デスティノ,牡3,56.0,戸崎圭太,1:57.7,クビ,11.5,6.0,544(0),[東] 田島俊明,1800,晴,ダート,良,2023年1月5日,2020106690,5386,1112,98803
202306010103,5,4,7,ルトラセ,セ3,56.0,丹内祐次,1:58.3,3.1/2,60.8,12.0,542(0),[東] 池上昌和,1800,晴,ダート,良,2023年1月5日,2020102538,1091,1150,808800
202306010103,6,3,5,セントアイヴス,牡3,56.0,吉田豊,1:58.3,ハナ,22.3,9.0,500(0),[東] 中舘英二,1800,晴,ダート,良,2023年1月5日,2020105712,733,1153,553800
202306010103,7,2,3,クリムゾンレッド,牡3,56.0,宮崎北斗,1:58.4,1/2,45.9,11.0,518(0),[東] 中川公成,1800,晴,ダート,良,2023年1月5日,2020102338,1118,1081,851007
202306010103,8,8,15,セイウンデイスター,牡3,56.0,野中悠太,1:58.9,3,93.5,13.0,458(0),[東] 萱野浩二,1800,晴,ダート,良,2023年1月5日,2020100417,1158,1024,897009
202306010103,9,2,4,ビートポップ,牝3,53.0,永野猛蔵,1:59.3,2.1/2,10.0,4.0,490(0),[東] 堀内岳志,1800,晴,ダート,良,2023年1月5日,2020102698,1188,1189,310007
202306010103,10,4,8,サウザンサニー,牡3,56.0,菊沢一樹,1:59.5,1,10.6,5.0,510(0),[東] 岩戸孝樹,1800,晴,ダート,良,2023年1月5日,2020109102,1161,1051,75800
202306010103,11,5,10,グランデアマポーラ,牝3,54.0,三浦皇成,2:00.0,3,4.0,2.0,504(0),[東] 鹿戸雄一,1800,晴,ダート,良,2023年1月5日,2020102722,1122,1097,415800
202306010103,12,1,1,デュメイカズマ,牡3,56.0,横山武史,2:00.5,3,4.0,1.0,464(0),[西] 安田隆行,1800,晴,ダート,良,2023年1月5日,2020103706,1170,438,879800
202306010103,13,6,12,ビッグアメリカン,牡3,53.0,西塚洸二,2:00.7,1,98.8,14.0,574(0),[東] 高橋文雅,1800,晴,ダート,良,2023年1月5日,2020106259,1200,1134,624007
202306010103,14,6,11,メインボード,牡3,54.0,小林凌大,2:02.0,8,167.3,15.0,500(0),[東] 天間昭一,1800,晴,ダート,良,2023年1月5日,2020103824,1177,1090,739009
202306010103,15,7,14,ヤマニンビロー,セ3,56.0,伊藤工真,2:11.5,大,222.6,16.0,534(0),[東] 田島俊明,1800,晴,ダート,良,2023年1月5日,2020100936,1119,1112,329004
202306010103,中,7,13,アドマイヤゾネ,牡3,56.0,Ｍ．デム,,,4.7,3.0,466(0),[東] 加藤征弘,1800,晴,ダート,良,2023年1月5日,2020103206,5212,1059,535031
202306010104,1,4,7,サトノアレックス,セ6,58.0,菊沢一樹,1:55.3,,15.9,7.0,500(+4),[東] 古賀慎明,1800,晴,ダート,良,2023年1月5日,2017104947,1161,1079,790031
202306010104,2,7,13,タイセイマーベル,牡5,58.0,Ｍ．デム,1:55.9,3.1/2,9.4,5.0,508(+20),[東] 池上昌和,1800,晴,ダート,良,2023年1月5日,2018100186,5212,1150,224007
202306010104,3,1,1,サトノギベオン,牡4,57.0,武豊,1:55.9,クビ,3.7,1.0,526(-2),[東] 戸田博文,1800,晴,ダート,良,2023年1月5日,2019100682,666,1054,790031
202306010104,4,8,16,ネオヒューズ,牡5,56.0,小林凌大,1:56.0,アタマ,47.8,9.0,522(+8),[東] 小西一男,1800,晴,ダート,良,2023年1月5日,2018102453,1177,405,502033
202306010104,5,7,14,ディープグラビティ,牡4,57.0,横山武史,1:56.0,アタマ,7.5,4.0,468(0),[東] 菊沢隆徳,1800,晴,ダート,良,2023年1月5日,2019104773,1170,1115,415800
202306010104,6,6,12,アウグスト,牡4,57.0,斎藤新,1:56.1,1/2,4.6,3.0,520(+10),[東] 斎藤誠,1800,晴,ダート,良,2023年1月5日,2019100284,1178,1086,353803
202306010104,7,2,3,ダンディジャック,牡4,54.0,西塚洸二,1:56.3,1.1/2,16.9,8.0,506(+18),[東] 佐藤吉勝,1800,晴,ダート,良,2023年1月5日,2019106097,1200,1035,738800
202306010104,8,8,15,アイファーグローブ,牡4,56.0,秋山稔樹,1:56.4,1/2,270.9,15.0,482(+12),[東] 蛯名利弘,1800,晴,ダート,良,2023年1月5日,2019101330,1181,1131,119007
202306010104,9,3,5,マサカウマザンマイ,牡5,56.0,原優介,1:56.5,1/2,139.6,13.0,496(+8),[東] 青木孝文,1800,晴,ダート,良,2023年1月5日,2018103330,1184,1156,638033
202306010104,10,2,4,リゼレインボー,牡4,57.0,石橋脩,1:56.9,2.1/2,54.8,10.0,486(+2),[東] 松山将樹,1800,晴,ダート,良,2023年1月5日,2019102676,1077,1100,661030
202306010104,11,4,8,マイネルサハラ,牡4,57.0,戸崎圭太,1:57.2,1.1/2,3.9,2.0,482(+6),[東] 和田雄二,1800,晴,ダート,良,2023年1月5日,2019103543,5386,1143,546800
202306010104,12,3,6,キタノポケット,牝6,54.0,小林脩斗,1:57.3,1/2,219.3,14.0,424(+4),[東] 粕谷昌央,1800,晴,ダート,良,2023年1月5日,2017100968,1183,1096,163002
202306010104,13,5,10,アーバンデザイン,牡4,57.0,丹内祐次,1:57.3,クビ,13.2,6.0,532(+12),[東] 和田雄二,1800,晴,ダート,良,2023年1月5日,2019104646,1091,1143,415800
202306010104,14,1,2,ニシノムネヲウツ,牡4,57.0,野中悠太,1:57.7,2,71.1,11.0,506(0),[東] 上原博之,1800,晴,ダート,良,2023年1月5日,2019103096,1158,423,897009
202306010104,15,6,11,トラストドーベル,牝5,56.0,吉田豊,1:57.8,1/2,124.7,12.0,510(+22),[東] 高橋文雅,1800,晴,ダート,良,2023年1月5日,2018102231,733,1134,125008
202306010104,16,5,9,ヴィグルズマン,セ5,58.0,内田博幸,2:01.3,大,325.6,16.0,462(+12),[東] 萱野浩二,1800,晴,ダート,良,2023年1月5日,2018102799,422,1024,393803
202306010105,1,1,1,メタルスピード,牡3,56.0,戸崎圭太,1:34.1,,6.9,4.0,510(+4),[東] 斎藤誠,1600,晴,芝,良,2023年1月5日,2020101772,5386,1086,87803
202306010105,2,2,3,サルヴァトーレ,牡3,56.0,三浦皇成,1:34.1,アタマ,3.7,1.0,474(-2),[東] 和田正一,1600,晴,芝,良,2023年1月5日,2020100301,1122,1114,788800
202306010105,3,8,16,コントラポスト,牡3,56.0,田辺裕信,1:34.6,2.1/2,4.1,2.0,460(-10),[東] 菊沢隆徳,1600,晴,芝,良,2023年1月5日,2020102740,1075,1115,542800
202306010105,4,3,5,ウィンターダフネ,牝3,54.0,横山和生,1:34.8,1.1/2,7.3,5.0,476(-2),[東] 国枝栄,1600,晴,芝,良,2023年1月5日,2020103246,1140,399,708800
202306010105,5,2,4,シルバーステラ,牝3,52.0,原優介,1:34.8,クビ,70.6,11.0,414(-6),[東] 武市康男,1600,晴,芝,良,2023年1月5日,2020105053,1184,1089,149002
202306010105,6,8,15,コンスピキュアス,牡3,56.0,大野拓弥,1:34.9,1/2,25.2,8.0,456(+4),[東] 栗田徹,1600,晴,芝,良,2023年1月5日,2020102958,1096,1127,338007
202306010105,7,4,8,コスモスプモーニ,牡3,56.0,丹内祐次,1:35.0,クビ,162.6,15.0,462(-2),[東] 松山将樹,1600,晴,芝,良,2023年1月5日,2020101261,1091,1100,716800
202306010105,8,7,14,ニシノトレンディー,牝3,54.0,武豊,1:35.2,1.1/4,4.7,3.0,494(+4),[東] 小手川準,1600,晴,芝,良,2023年1月5日,2020105940,666,1171,897009
202306010105,9,7,13,トクシーカイザー,牡3,56.0,菊沢一樹,1:35.2,アタマ,18.6,6.0,460(+2),[東] 小島茂之,1600,晴,芝,良,2023年1月5日,2020100406,1161,1068,250033
