,0,1,2,3
202001010101,単勝,6,1600,3
202001010101,複勝,6br2,490br130,4br2
202001010101,馬連,2 - 6,1410,4
202001010101,ワイド,2 - 6br3 - 6br2 - 3,150br170br110,3br4br1
202001010101,馬単,6 → 2,3920,9
202001010101,三連複,2 - 3 - 6,240,2
202001010101,三連単,6 → 2 → 3,5180,16
202001010102,単勝,4,270,1
202001010102,複勝,4br14br13,130br170br300,1br3br5
202001010102,枠連,3 - 8,500,2
202001010102,馬連,4 - 14,830,2
202001010102,ワイド,4 - 14br4 - 13br13 - 14,"300br700br1,030",1br6br13
202001010102,馬単,4 → 14,1190,2
202001010102,三連複,4 - 13 - 14,3030,6
202001010102,三連単,4 → 14 → 13,10200,12
202001010103,単勝,2,290,2
202001010103,複勝,2br6br12,130br120br380,2br1br8
202001010103,枠連,2 - 4,350,1
202001010103,馬連,2 - 6,370,1
202001010103,ワイド,2 - 6br2 - 12br6 - 12,"200br1,030br800",1br14br11
202001010103,馬単,2 → 6,770,2
202001010103,三連複,2 - 6 - 12,2230,6
202001010103,三連単,2 → 6 → 12,7670,20
202001010104,単勝,13,4220,10
202001010104,複勝,13br2br10,900br170br640,11br1br8
202001010104,枠連,2 - 8,7670,19
202001010104,馬連,2 - 13,8040,28
202001010104,ワイド,2 - 13br10 - 13br2 - 10,"2,490br7,940br1,670",32br59br17
202001010104,馬単,13 → 2,26010,78
202001010104,三連複,2 - 10 - 13,51040,126
202001010104,三連単,13 → 2 → 10,378630,823
202001010105,単勝,2,1590,4
202001010105,複勝,2br5,410br170,4br2
202001010105,馬連,2 - 5,1400,6
202001010105,ワイド,2 - 5br1 - 2br1 - 5,"420br1,690br760",6br15br9
202001010105,馬単,2 → 5,4410,15
202001010105,三連複,1 - 2 - 5,5620,16
202001010105,三連単,2 → 5 → 1,43760,80
202001010106,単勝,1,460,3
202001010106,複勝,1br8br2,170br340br120,3br6br1
202001010106,枠連,1 - 5,1900,8
202001010106,馬連,1 - 8,4800,16
202001010106,ワイド,1 - 8br1 - 2br2 - 8,"1,220br290br710",13br2br8
202001010106,馬単,1 → 8,8330,29
202001010106,三連複,1 - 2 - 8,2700,6
202001010106,三連単,1 → 8 → 2,23280,60
202001010107,単勝,10,280,1
202001010107,複勝,10br5br3,140br290br140,1br7br2
202001010107,枠連,5 - 7,790,3
202001010107,馬連,5 - 10,3560,15
202001010107,ワイド,5 - 10br3 - 10br3 - 5,"1,080br350br760",15br1br10
202001010107,馬単,10 → 5,5430,18
202001010107,三連複,3 - 5 - 10,3850,8
202001010107,三連単,10 → 5 → 3,21750,53
202001010108,単勝,8,430,2
202001010108,複勝,8br5br6,170br110br170,3br1br4
202001010108,馬連,5 - 8,620,2
202001010108,ワイド,5 - 8br6 - 8br5 - 6,280br660br330,2br11br3
202001010108,馬単,8 → 5,1400,6
202001010108,三連複,5 - 6 - 8,1580,5
202001010108,三連単,8 → 5 → 6,7870,25
202001010109,単勝,4,380,2
202001010109,複勝,4br5br3,120br110br180,2br1br4
202001010109,馬連,4 - 5,350,1
202001010109,ワイド,4 - 5br3 - 4br3 - 5,180br530br410,1br8br4
202001010109,馬単,4 → 5,900,3
202001010109,三連複,3 - 4 - 5,980,2
202001010109,三連単,4 → 5 → 3,4990,12
202001010110,単勝,3,710,2
202001010110,複勝,3br8br4,150br260br110,2br6br1
202001010110,枠連,3 - 7,1390,7
202001010110,馬連,3 - 8,3530,10
202001010110,ワイド,3 - 8br3 - 4br4 - 8,920br230br510,11br1br6
202001010110,馬単,3 → 8,7550,20
202001010110,三連複,3 - 4 - 8,1680,3
202001010110,三連単,3 → 8 → 4,18520,58
202001010111,単勝,11,420,2
202001010111,複勝,11br8br3,"180br490br1,000",2br9br13
202001010111,枠連,4 - 6,2830,12
202001010111,馬連,8 - 11,4380,16
202001010111,ワイド,8 - 11br3 - 11br3 - 8,"1,290br3,690br9,100",12br48br80
202001010111,馬単,11 → 8,7480,27
202001010111,三連複,3 - 8 - 11,68420,212
202001010111,三連単,11 → 8 → 3,313320,1004
202001010112,単勝,3,520,3
202001010112,複勝,3br1br5,210br190br360,3br2br8
202001010112,枠連,1 - 3,1550,6
202001010112,馬連,1 - 3,1230,2
202001010112,ワイド,1 - 3br3 - 5br1 - 5,"510br1,530br1,220",2br21br16
202001010112,馬単,3 → 1,2360,3
202001010112,三連複,1 - 3 - 5,6860,19
202001010112,三連単,3 → 1 → 5,27370,59
202001010201,単勝,4br7,180br150,3br1
202001010201,複勝,4br7,170br140,3br1
202001010201,馬連,4 - 7,490,2
202001010201,ワイド,4 - 7br3 - 4br3 - 7,170br220br180,2br5br3
202001010201,馬単,4 → 7br7 → 4,540br440,7br3
202001010201,三連複,3 - 4 - 7,500,3
202001010201,三連単,4 → 7 → 3br7 → 4 → 3,"1,420br1,130",14br8
202001010202,単勝,7,810,4
202001010202,複勝,7br9br3,240br170br150,5br3br1
202001010202,枠連,6 - 7,460,2
202001010202,馬連,7 - 9,3130,14
202001010202,ワイド,7 - 9br3 - 7br3 - 9,"1,160br770br370",20br11br1
202001010202,馬単,7 → 9,6410,28
202001010202,三連複,3 - 7 - 9,3230,6
